Fire_Date,Fire_Time,Source_Type,Lat,Lon,State,District,Circle,Division,Range,Block,Beat,Compartment_No
2026-02-20,00:45:13,SNPP,21.97616,86.385,ODISHA,MAYURBHANJ,BARIPADA CIRCLE,SIMILIPAL NORTH WILDLIFE DIVISION,CHAHALA WILDLIFE RANGE,CHAHALA WILDLIFE BLOCK,BHATUNIA BEAT,
2026-02-20,00:45:13,SNPP,21.98258,86.38216,ODISHA,MAYURBHANJ,BARIPADA CIRCLE,SIMILIPAL NORTH WILDLIFE DIVISION,CHAHALA WILDLIFE RANGE,CHAHALA WILDLIFE BLOCK,BHATUNIA BEAT,
2026-02-20,00:45:13,SNPP,21.98276,86.38314,ODISHA,MAYURBHANJ,BARIPADA CIRCLE,SIMILIPAL NORTH WILDLIFE DIVISION,CHAHALA WILDLIFE RANGE,CHAHALA WILDLIFE BLOCK,BHATUNIA BEAT,
2026-02-20,00:45:13,SNPP,21.98289,86.37864,ODISHA,MAYURBHANJ,BARIPADA CIRCLE,SIMILIPAL NORTH WILDLIFE DIVISION,CHAHALA WILDLIFE RANGE,CHAHALA WILDLIFE BLOCK,BHATUNIA BEAT,
2026-02-20,00:45:13,SNPP,21.98305,86.3797,ODISHA,MAYURBHANJ,BARIPADA CIRCLE,SIMILIPAL NORTH WILDLIFE DIVISION,CHAHALA WILDLIFE RANGE,CHAHALA WILDLIFE BLOCK,BHATUNIA BEAT,
2026-02-20,00:45:13,SNPP,21.98322,86.37486,ODISHA,MAYURBHANJ,BARIPADA CIRCLE,SIMILIPAL NORTH WILDLIFE DIVISION,CHAHALA WILDLIFE RANGE,CHAHALA WILDLIFE BLOCK,BHATUNIA BEAT,
2026-02-20,00:45:13,SNPP,21.98335,86.37597,ODISHA,MAYURBHANJ,BARIPADA CIRCLE,SIMILIPAL NORTH WILDLIFE DIVISION,CHAHALA WILDLIFE RANGE,CHAHALA WILDLIFE BLOCK,BHATUNIA BEAT,
2026-02-20,00:45:13,SNPP,21.98904,86.3789,ODISHA,MAYURBHANJ,BARIPADA CIRCLE,SIMILIPAL NORTH WILDLIFE DIVISION,CHAHALA WILDLIFE RANGE,CHAHALA WILDLIFE BLOCK,BHATUNIA BEAT,
2026-02-20,00:45:13,SNPP,21.98953,86.37588,ODISHA,MAYURBHANJ,BARIPADA CIRCLE,SIMILIPAL NORTH WILDLIFE DIVISION,CHAHALA WILDLIFE RANGE,CHAHALA WILDLIFE BLOCK,BHATUNIA BEAT,
2026-02-20,00:45:13,SNPP,22.77709,92.84499,MIZORAM,LUNGLEI,SOUTHERN CIRCLE,LUNGLEI FOREST DIVISION,TAWIPUI SOUTH RANGE,TAWIPUI SOUTH BLOCK,THAIZAWL BEAT,
2026-02-20,00:45:13,SNPP,23.38861,92.75311,MIZORAM,AIZAWL,CENTRAL CIRCLE,THENZAWL FOREST DIVISION,SIALSUK RANGE,SIALSUK BLOCK,SIALSUK BEAT,
2026-02-20,00:45:13,SNPP,23.61113,87.14658,WEST BENGAL,PASCHIM BARDDHAMAN,SOUTH EAST CIRCLE,DURGAPUR DIVISION,ASANSOL RANGE,ASANSOL BLOCK,MANGALPUR BEAT,
2026-02-20,00:45:13,SNPP,23.66813,85.00009,JHARKHAND,RANCHI,RANCHI CIRCLE,RANCHI DIVISION,BURMU RANGE,BURMU BLOCK,NAWADIH BEAT,
2026-02-20,00:45:13,SNPP,23.70063,92.50155,MIZORAM,MAMIT,NORTHERN CIRCLE,MAMIT FOREST DIVISION,SAITHAH RANGE,SAITHAH BLOCK,W PHAILENG BEAT,
