date,latitude,longitude,wind_speed,cloud_cover,precipitation_probability,pressure_surface_level,dew_point,uv_index,heatwave,visibility,rainfall,solar_radiation,snowfall,max_temperature,min_temperature,max_humidity,min_humidity,data_source,verified
2026-02-20T11:37:20.781150,28.6139,77.209,8,5,0,1006,18,11,1.0,6,0,920,0.0,46,32,35,22,auto_collected_Delhi_Heatwave,False
2026-02-20T11:37:20.781159,19.076,72.8777,15,40,30,1012,24,7,0.0,10,2.5,650,0.0,32,26,85,65,auto_collected_Mumbai_Normal,False
2026-02-20T11:37:20.781161,12.9716,77.5946,10,20,10,1010,22,9,0.0,9,0,780,0.0,38,28,55,35,auto_collected_Bangalore_Moderate,False
2026-02-20T11:37:20.791218,19.076,77.209,22,55,89,1006,24,7,0.0,5,0,875,0.0,30,25,95,15,auto_collected_Test_Location_Day1,False
2026-02-20T11:37:20.793808,19.076,77.209,25,60,54,1014,24,8,1.0,6,9.231928801972211,426,0.0,47,40,69,15,auto_collected_Test_Location_Day1,False
2026-02-20T11:37:20.795579,12.9716,72.8777,11,46,7,996,17,3,1.0,6,0,676,0.0,44,36,52,41,auto_collected_Test_Location_Day1,False
2026-02-20T11:37:20.797385,28.6139,77.209,11,82,67,1006,21,6,1.0,9,0,405,0.0,40,29,67,16,auto_collected_Test_Location_Day1,False
2026-02-20T11:37:20.798746,19.076,77.5946,17,55,9,1014,29,5,0.0,6,0,826,0.0,36,30,83,37,auto_collected_Test_Location_Day2,False
2026-02-20T11:37:20.800309,12.9716,77.209,22,63,45,1006,19,3,0.0,7,1.4721640199991903,853,0.0,42,35,95,18,auto_collected_Test_Location_Day2,False
2026-02-20T11:37:20.803752,12.9716,77.5946,12,44,92,1006,22,10,0.0,5,0,483,0.0,31,25,69,44,auto_collected_Test_Location_Day2,False
2026-02-20T11:37:20.806386,19.076,77.5946,10,64,74,1019,30,8,0.0,5,0,862,0.0,33,25,93,23,auto_collected_Test_Location_Day2,False
2026-02-20T11:37:20.807945,19.076,72.8777,11,90,20,1009,28,7,0.0,6,0,904,0.0,44,38,59,31,auto_collected_Test_Location_Day3,False
2026-02-20T11:37:20.809168,12.9716,77.209,6,0,23,1010,26,3,1.0,9,8.769047189314191,650,0.0,42,33,91,19,auto_collected_Test_Location_Day3,False
2026-02-20T11:37:20.810756,19.076,77.209,15,87,50,1002,23,3,0.0,5,0,830,0.0,33,24,53,32,auto_collected_Test_Location_Day3,False
2026-02-20T11:37:20.812178,12.9716,77.5946,14,31,38,997,28,11,0.0,10,1.9105714680196006,440,0.0,37,30,68,19,auto_collected_Test_Location_Day3,False
2026-02-20T11:37:20.813695,19.076,72.8777,11,35,92,1012,22,9,0.0,7,0,900,0.0,30,25,77,39,auto_collected_Test_Location_Day4,False
2026-02-20T11:37:20.815017,12.9716,77.209,9,56,39,998,24,11,0.0,9,1.0903966856266412,471,0.0,33,26,63,15,auto_collected_Test_Location_Day4,False
2026-02-20T11:37:20.816224,28.6139,77.209,17,56,60,999,22,10,0.0,7,0,450,0.0,33,25,73,21,auto_collected_Test_Location_Day4,False
2026-02-20T11:37:20.817427,12.9716,77.209,7,67,54,1020,22,11,0.0,8,0,931,0.0,43,33,84,38,auto_collected_Test_Location_Day4,False
2026-02-20T11:37:20.818601,19.076,77.209,14,8,6,1018,16,10,0.0,9,1.6124236843765072,419,0.0,40,34,57,19,auto_collected_Test_Location_Day5,False
2026-02-20T11:37:20.819857,12.9716,77.5946,16,33,37,1017,17,4,0.0,6,0,547,0.0,37,32,50,24,auto_collected_Test_Location_Day5,False
2026-02-20T11:37:20.821144,19.076,72.8777,25,94,9,1014,22,6,0.0,7,5.1910214145127975,411,0.0,30,18,62,34,auto_collected_Test_Location_Day5,False
2026-02-20T11:37:20.822366,28.6139,72.8777,21,78,84,1005,26,6,1.0,5,6.02556539023531,637,0.0,46,37,86,28,auto_collected_Test_Location_Day5,False
2026-02-20T11:37:20.823675,28.6139,72.8777,19,13,41,1008,17,8,0.0,8,0,530,0.0,35,29,83,23,auto_collected_Test_Location_Day6,False
2026-02-20T11:37:20.824857,12.9716,77.209,6,34,23,1004,21,5,0.0,6,0,410,0.0,40,30,76,34,auto_collected_Test_Location_Day6,False
