grid_id,lat,lon,lat_min,lat_max,lon_min,lon_max,fire,fire_count,forest_density,elevation,slope,max_temp,min_temp,rainfall,wind_speed,humidity,pressure,dry_days,avg_temp_7d,avg_rain_7d,temp_range,heat_index,fuel_dryness,fire_weather_index
30.80_96.70,30.849999999999913,96.74999999999837,30.799999999999912,30.899999999999913,96.69999999999837,96.79999999999836,0,0,0.7933699806377268,2880.369017062189,26.920609855030083,-3.5,-11.0,2.2,21.5,72,580.7,4,-4.171428571428572,0.37142857142857144,7.5,7.5,-0.13066666666666668,-4.123287671232877
18.10_96.50,18.14999999999996,96.54999999999838,18.09999999999996,18.19999999999996,96.49999999999838,96.59999999999837,0,0,0.12452791767894555,495.2315246523193,5.003960157302707,34.4,25.0,0.3,5.5,65,1009.4,7,33.800000000000004,0.014285714285714287,9.399999999999999,41.9,2.8093333333333335,20.066666666666663
14.20_75.80,14.249999999999973,75.84999999999955,14.199999999999973,14.299999999999972,75.79999999999956,75.89999999999955,0,0,0.6629532646321002,991.7291216773167,10.238077784706284,33.5,20.0,0.0,17.7,49,948.9,7,32.371428571428574,0.0,13.5,33.0,3.9865,83.01299999999999
23.60_86.60,23.649999999999938,86.64999999999894,23.599999999999937,23.69999999999994,86.59999999999894,86.69999999999894,1,1,0.23403338648246108,128.69786732093664,0.0,32.2,18.3,0.0,10.0,49,999.5,7,29.957142857142856,0.0,13.900000000000002,31.700000000000003,3.8318000000000008,45.08
26.80_91.20,26.849999999999927,91.24999999999868,26.799999999999926,26.899999999999928,91.19999999999868,91.29999999999868,1,1,0.8813401887225798,470.59785517977093,4.711002771826575,27.7,18.6,0.0,12.3,42,942.3,7,25.657142857142855,0.0,9.099999999999998,23.7,3.7487333333333335,55.46441860465117
9.50_74.80,9.54999999999999,74.84999999999961,9.49999999999999,9.599999999999989,74.79999999999961,74.89999999999961,0,0,0.7954523631233049,1203.3819509406185,13.013709362525143,28.6,27.1,1.2,16.7,81,1010.4,0,28.442857142857143,1.1857142857142857,1.5,44.1,0.0,0.0
22.30_79.90,22.349999999999945,79.94999999999932,22.299999999999944,22.399999999999945,79.89999999999932,79.99999999999932,1,5,0.7240268656265318,405.50492072476743,5.359816523841985,30.9,14.6,0.0,15.5,58,964.2,7,29.785714285714285,0.0,16.299999999999997,34.9,3.0282000000000004,56.824576271186444
18.30_73.20,18.34999999999996,73.2499999999997,18.299999999999958,18.39999999999996,73.1999999999997,73.2999999999997,1,22,0.8381862281011152,525.8833906404504,6.940106475823247,33.6,21.1,0.0,14.4,74,1003.8,7,33.18571428571429,0.0,12.5,45.6,2.0384,45.1584
8.80_79.80,8.849999999999993,79.84999999999933,8.799999999999992,8.899999999999991,79.79999999999933,79.89999999999932,0,0,0.1844593022778614,227.17231385904722,1.1126707917883283,27.3,25.7,10.4,20.9,87,1011.1,1,27.814285714285717,0.5714285714285714,1.6000000000000014,45.8,0.1183,6.48375
29.20_94.30,29.24999999999992,94.3499999999985,29.199999999999918,29.29999999999992,94.2999999999985,94.3999999999985,0,0,0.7206133983617289,1840.6948064961084,19.565329607094046,2.6,-5.9,0.1,12.0,79,624.6,3,2.8428571428571425,0.7857142857142857,8.5,17.1,0.054599999999999996,1.1700000000000002
33.30_68.90,33.3499999999999,68.94999999999995,33.299999999999905,33.399999999999906,68.89999999999995,68.99999999999994,0,0,0.12427795850509744,2460.459584784421,26.003983812115774,13.5,1.1,0.0,9.6,56,793.9,2,11.385714285714286,0.7285714285714285,12.4,16.5,0.39599999999999996,4.5473684210526315
10.50_91.10,10.549999999999986,91.14999999999868,10.499999999999986,10.599999999999985,91.09999999999869,91.19999999999868,0,0,0.42103641887072263,349.95323389590214,1.5905568462742026,28.1,27.3,13.0,30.1,83,1011.2,0,27.82857142857143,2.4857142857142853,0.8000000000000007,44.6,0.0,0.0
12.20_86.70,12.24999999999998,86.74999999999893,12.19999999999998,12.29999999999998,86.69999999999894,86.79999999999893,0,0,0.18228529029414176,464.01331798576956,5.081405537386558,27.2,26.4,6.7,31.2,86,1012.1,7,26.257142857142856,0.09999999999999999,0.8000000000000007,45.2,0.8885333333333334,68.28137931034482
17.40_78.80,17.449999999999964,78.84999999999938,17.399999999999963,17.499999999999964,78.79999999999939,78.89999999999938,0,0,0.38094095937370476,630.1087784638686,4.5910561500569536,30.3,18.0,0.0,15.1,58,967.7,7,30.857142857142858,0.0,12.3,34.3,2.9694000000000003,54.28322033898305
22.30_87.20,22.349999999999945,87.2499999999989,22.299999999999944,22.399999999999945,87.19999999999891,87.2999999999989,1,3,0.3891368301791259,368.44551050266637,4.922661170076659,31.5,18.8,0.0,5.4,63,1010.0,7,28.942857142857143,0.0,12.7,38.0,2.7195,18.604687500000004
15.90_75.30,15.949999999999967,75.34999999999958,15.899999999999967,15.999999999999966,75.29999999999959,75.39999999999958,1,4,0.8306599933691062,1394.5649308200827,15.498818212416134,33.7,19.2,0.0,15.7,43,939.3,7,32.38571428571429,0.0,14.500000000000004,30.200000000000003,4.482100000000002,84.17340909090909
32.80_71.40,32.8499999999999,71.4499999999998,32.799999999999905,32.899999999999906,71.3999999999998,71.4999999999998,0,0,0.18831251315372421,1877.4504724047988,17.58576773452467,28.3,11.6,0.0,7.6,65,994.9,7,26.74285714285714,0.014285714285714287,16.700000000000003,35.8,2.3111666666666664,22.811515151515152
17.30_77.60,17.349999999999962,77.64999999999945,17.29999999999996,17.399999999999963,77.59999999999945,77.69999999999945,1,2,0.4041385352321737,95.89214963632426,2.936250281459581,32.7,18.8,0.0,14.3,50,957.8,7,32.371428571428574,0.0,13.900000000000002,32.7,3.8150000000000004,64.18176470588236
8.70_73.30,8.749999999999993,73.3499999999997,8.699999999999992,8.799999999999992,73.2999999999997,73.3999999999997,0,0,0.7302187697824308,767.7280603031193,9.452761811717865,28.1,27.5,0.0,12.7,79,1010.5,7,27.9,0.34285714285714286,0.6000000000000014,42.6,1.3769,31.226125000000003
30.10_71.90,30.149999999999917,71.94999999999978,30.099999999999916,30.199999999999918,71.89999999999978,71.99999999999977,0,0,0.30383297446773194,2236.9295083856846,23.704141195567153,27.6,14.4,0.0,5.5,65,1003.2,7,26.171428571428574,0.09999999999999999,13.200000000000001,35.1,2.254,16.1
